File ID,Temperature (K),G,Pressure (bar),theta,V(cm3/g)
30,298.15,179.9742606,0.4,4.64e-133,8.491780603809019e-130
30,298.15,179.9742606,0.5,5.8000000000000005e-133,1.0614725754761276e-129
30,298.15,179.9742606,0.6,6.96e-133,1.2737670905713529e-129
30,298.15,179.9742606,0.7,8.120000000000001e-133,1.4860616056665785e-129
30,298.15,179.9742606,0.8,9.28e-133,1.6983561207618037e-129
30,298.15,179.9742606,0.9,1.0400000000000001e-132,1.9033301353365044e-129
30,298.15,179.9742606,1.0,1.1600000000000001e-132,2.1229451509522552e-129
30,298.15,179.9742606,1.1,1.28e-132,2.3425601665680054e-129
31,298.15,-2.74723878,0.1,0.911710335,1668.2905986317053
31,298.15,-2.74723878,0.2,0.9538164,1745.3382635404018
31,298.15,-2.74723878,0.3,0.968729539,1772.6270290996822
31,298.15,-2.74723878,0.4,0.976362364,1786.5939325115
31,298.15,-2.74723878,0.5,0.981000069,1795.0802239943396
31,298.15,-2.74723878,0.6,0.984116426,1800.7826811076288
31,298.15,-2.74723878,0.7,0.986354546,1804.8780987104242
31,298.15,-2.74723878,0.8,0.988039827,1807.961905420099
31,298.15,-2.74723878,0.9,0.989354588,1810.3677171472934
31,298.15,-2.74723878,1.0,0.99040892,1812.2969835994904
31,298.15,-2.74723878,1.1,0.991273227,1813.8785333385654
32,298.15,-41.45770317,0.1,1.0,1830.125130131254
32,298.15,-41.45770317,0.2,1.0,1830.125130131254
32,298.15,-41.45770317,0.3,1.0,1830.125130131254
32,298.15,-41.45770317,0.4,1.0,1830.125130131254
32,298.15,-41.45770317,0.5,1.0,1830.125130131254
32,298.15,-41.45770317,0.6,1.0,1830.125130131254
32,298.15,-41.45770317,0.7,1.0,1830.125130131254
32,298.15,-41.45770317,0.8,1.0,1830.125130131254
32,298.15,-41.45770317,0.9,1.0,1830.125130131254
32,298.15,-41.45770317,1.0,1.0,1830.125130131254
32,298.15,-41.45770317,1.1,1.0,1830.125130131254
33,298.15,-7.90474347,0.1,0.999983961,1829.5355890828503
33,298.15,-7.90474347,0.2,0.99999198,1829.550260364052
33,298.15,-7.90474347,0.3,0.999994654,1829.555152620684
33,298.15,-7.90474347,0.4,0.99999599,1829.557596919435
33,298.15,-7.90474347,0.5,0.999996792,1829.5590642305121
33,298.15,-7.90474347,0.6,0.999997327,1829.5600430477512
33,298.15,-7.90474347,0.7,0.999997709,1829.560741941556
33,298.15,-7.90474347,0.8,0.999997995,1829.5612651971267
33,298.15,-7.90474347,0.9,0.999998218,1829.5616731901068
33,298.15,-7.90474347,1.0,0.999998396,1829.561998852665
33,298.15,-7.90474347,1.1,0.999998542,1829.5622659691455
34,298.15,-27.89156448,0.1,1.0,1828.913499840515
34,298.15,-27.89156448,0.2,1.0,1828.913499840515
34,298.15,-27.89156448,0.3,1.0,1828.913499840515
34,298.15,-27.89156448,0.4,1.0,1828.913499840515
34,298.15,-27.89156448,0.5,1.0,1828.913499840515
34,298.15,-27.89156448,0.6,1.0,1828.913499840515
34,298.15,-27.89156448,0.7,1.0,1828.913499840515
34,298.15,-27.89156448,0.8,1.0,1828.913499840515
34,298.15,-27.89156448,0.9,1.0,1828.913499840515
34,298.15,-27.89156448,1.0,1.0,1828.913499840515
34,298.15,-27.89156448,1.1,1.0,1828.913499840515
35,298.15,-36.78338118,0.1,1.0,1837.4337749291283
35,298.15,-36.78338118,0.2,1.0,1837.4337749291283
35,298.15,-36.78338118,0.3,1.0,1837.4337749291283
35,298.15,-36.78338118,0.4,1.0,1837.4337749291283
35,298.15,-36.78338118,0.5,1.0,1837.4337749291283
35,298.15,-36.78338118,0.6,1.0,1837.4337749291283
35,298.15,-36.78338118,0.7,1.0,1837.4337749291283
35,298.15,-36.78338118,0.8,1.0,1837.4337749291283
35,298.15,-36.78338118,0.9,1.0,1837.4337749291283
35,298.15,-36.78338118,1.0,1.0,1837.4337749291283
35,298.15,-36.78338118,1.1,1.0,1837.4337749291283
36,298.15,-33.30070068,0.1,1.0,1841.3970102560904
36,298.15,-33.30070068,0.2,1.0,1841.3970102560904
36,298.15,-33.30070068,0.3,1.0,1841.3970102560904
36,298.15,-33.30070068,0.4,1.0,1841.3970102560904
36,298.15,-33.30070068,0.5,1.0,1841.3970102560904
36,298.15,-33.30070068,0.6,1.0,1841.3970102560904
36,298.15,-33.30070068,0.7,1.0,1841.3970102560904
36,298.15,-33.30070068,0.8,1.0,1841.3970102560904
36,298.15,-33.30070068,0.9,1.0,1841.3970102560904
36,298.15,-33.30070068,1.0,1.0,1841.3970102560904
36,298.15,-33.30070068,1.1,1.0,1841.3970102560904
37,298.15,-8.85040104,0.1,0.99999675,1847.3247570486647
37,298.15,-8.85040104,0.2,0.999998375,1847.327758961151
37,298.15,-8.85040104,0.3,0.999998917,1847.3287602144235
37,298.15,-8.85040104,0.4,0.999999187,1847.3292589937287
37,298.15,-8.85040104,0.5,0.99999935,1847.329560108643
37,298.15,-8.85040104,0.6,0.999999458,1847.329759620365
