File ID,Temperature (K),G,Pressure (bar),theta,V(cm3/g),wt%
37,77,-11.41691694,0.3,1.0,1847.3307608736372,14.248173681741957
37,77,-11.41691694,0.4,1.0,1847.3307608736372,14.248173681741957
37,77,-11.41691694,0.5,1.0,1847.3307608736372,14.248173681741957
37,77,-11.41691694,0.6,1.0,1847.3307608736372,14.248173681741957
37,77,-11.41691694,0.7,1.0,1847.3307608736372,14.248173681741957
37,77,-11.41691694,0.8,1.0,1847.3307608736372,14.248173681741957
37,77,-11.41691694,0.9,1.0,1847.3307608736372,14.248173681741957
37,77,-11.41691694,1.0,1.0,1847.3307608736372,14.248173681741957
37,77,-11.41691694,1.1,1.0,1847.3307608736372,14.248173681741957
38,77,-15.5936235,0.1,1.0,1827.7746065399983,14.118635758806642
38,77,-15.5936235,0.2,1.0,1827.7746065399983,14.118635758806642
38,77,-15.5936235,0.3,1.0,1827.7746065399983,14.118635758806642
38,77,-15.5936235,0.4,1.0,1827.7746065399983,14.118635758806642
38,77,-15.5936235,0.5,1.0,1827.7746065399983,14.118635758806642
38,77,-15.5936235,0.6,1.0,1827.7746065399983,14.118635758806642
38,77,-15.5936235,0.7,1.0,1827.7746065399983,14.118635758806642
38,77,-15.5936235,0.8,1.0,1827.7746065399983,14.118635758806642
38,77,-15.5936235,0.9,1.0,1827.7746065399983,14.118635758806642
38,77,-15.5936235,1.0,1.0,1827.7746065399983,14.118635758806642
38,77,-15.5936235,1.1,1.0,1827.7746065399983,14.118635758806642
39,77,-7.58847843,0.1,1.0,1828.057056760574,14.120509464914383
39,77,-7.58847843,0.2,1.0,1828.057056760574,14.120509464914383
39,77,-7.58847843,0.3,1.0,1828.057056760574,14.120509464914383
39,77,-7.58847843,0.4,1.0,1828.057056760574,14.120509464914383
39,77,-7.58847843,0.5,1.0,1828.057056760574,14.120509464914383
39,77,-7.58847843,0.6,1.0,1828.057056760574,14.120509464914383
39,77,-7.58847843,0.7,1.0,1828.057056760574,14.120509464914383
39,77,-7.58847843,0.8,1.0,1828.057056760574,14.120509464914383
39,77,-7.58847843,0.9,1.0,1828.057056760574,14.120509464914383
39,77,-7.58847843,1.0,1.0,1828.057056760574,14.120509464914383
39,77,-7.58847843,1.1,1.0,1828.057056760574,14.120509464914383
4,77,-0.28990962,0.1,0.399454488,737.5422864576128,6.221046768674576
4,77,-0.28990962,0.2,0.57087171,1054.0425478142763,8.659497638475866
4,77,-0.28990962,0.3,0.666161257,1229.9826673552293,9.960956106153738
4,77,-0.28990962,0.4,0.726821556,1341.9842519303972,10.7703046913553
4,77,-0.28990962,0.5,0.768826945,1419.541900116344,11.322280087036578
4,77,-0.28990962,0.6,0.799635995,1476.4269217225776,11.722807383203069
4,77,-0.28990962,0.7,0.823198766,1519.932603898358,12.026697483185758
4,77,-0.28990962,0.8,0.841802737,1554.282487854427,12.265159614035891
4,77,-0.28990962,0.9,0.856864245,1582.091661068222,12.457270251146012
4,77,-0.28990962,1.0,0.869307139,1605.0658940950136,12.615346795570323
4,77,-0.28990962,1.1,0.879759713,1624.365252492327,12.747697450600654
40,77,-23.08923045,0.1,1.0,1826.637130770428,14.111089193333887
40,77,-23.08923045,0.2,1.0,1826.637130770428,14.111089193333887
